ZCTA5,CBSA,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
37743,24620,2,25546,11906,563720532,560165505,25588,11932,574708419,571006913,68831,32025,1616456379,1611399661,99.84,99.78,98.09,98.1,37.11,37.18,34.87,34.76
37743,35460,2,42,26,10987887,10841408,25588,11932,574708419,571006913,35662,17459,1147715959,1125518964,.16,.22,1.91,1.9,.12,.15,.96,.96
37745,24620,2,18401,8696,301772715,301656148,18401,8696,301772715,301656148,68831,32025,1616456379,1611399661,100,100,100,100,26.73,27.15,18.67,18.72
37748,25340,2,15946,7617,199589717,185149984,17857,8452,279459119,264796619,54181,25716,1022985516,934229744,89.3,90.12,71.42,69.92,29.43,29.62,19.51,19.82
37753,35460,2,814,432,77864160,77864160,814,432,77864160,77864160,35662,17459,1147715959,1125518964,100,100,100,100,2.28,2.47,6.78,6.92
37754,28940,1,4729,1998,98210591,98065200,4729,1998,98210591,98065200,698030,315615,5003121458,4809213971,100,100,100,100,.68,.63,1.96,2.04
37757,29220,2,9337,4205,81849289,72942123,9337,4205,81849289,72942123,40716,19966,1290192978,1243689525,100,100,100,100,22.93,21.06,6.34,5.86
37760,34100,1,12931,5397,110932395,103550673,12931,5397,110932395,103550673,136608,61356,2052740925,1854061138,100,100,100,100,9.47,8.8,5.4,5.59
37762,29220,2,3126,1478,35649213,35444179,3126,1478,35649213,35444179,40716,19966,1290192978,1243689525,100,100,100,100,7.68,7.4,2.76,2.85
37763,25340,2,15794,7428,265420343,235887625,15794,7428,265420343,235887625,54181,25716,1022985516,934229744,100,100,100,100,29.15,28.88,25.95,25.25
37764,28940,1,620,293,12913652,12913652,9258,4019,91168612,89802967,698030,315615,5003121458,4809213971,6.7,7.29,14.16,14.38,.09,.09,.26,.27
37764,42940,2,8638,3726,78254960,76889315,9258,4019,91168612,89802967,89889,55918,1548082353,1534567408,93.3,92.71,85.84,85.62,9.61,6.66,5.05,5.01
37766,29220,2,18850,9678,424466434,396759613,18850,9678,424466434,396759613,40716,19966,1290192978,1243689525,100,100,100,100,46.3,48.47,32.9,31.9
37769,28940,1,5477,2432,62703732,62052619,5990,2703,77390064,74686782,698030,315615,5003121458,4809213971,91.44,89.97,81.02,83.08,.78,.77,1.25,1.29
37769,29220,2,513,271,14686332,12634163,5990,2703,77390064,74686782,40716,19966,1290192978,1243689525,8.56,10.03,18.98,16.92,1.26,1.36,1.14,1.02
37771,25340,2,1111,497,32291837,31521644,15380,6589,129044392,125729428,54181,25716,1022985516,934229744,7.22,7.54,25.02,25.07,2.05,1.93,3.16,3.37
37771,28940,1,14269,6092,96752555,94207784,15380,6589,129044392,125729428,698030,315615,5003121458,4809213971,92.78,92.46,74.98,74.93,2.04,1.93,1.93,1.96
37772,28940,1,11146,4827,116265638,101188331,11146,4827,116265638,101188331,698030,315615,5003121458,4809213971,100,100,100,100,1.6,1.53,2.32,2.1
37774,25340,2,1116,516,25518566,25395718,18321,8702,244957285,226415456,54181,25716,1022985516,934229744,6.09,5.93,10.42,11.22,2.06,2.01,2.49,2.72
37774,28940,1,17069,8132,214904799,196485818,18321,8702,244957285,226415456,698030,315615,5003121458,4809213971,93.17,93.45,87.73,86.78,2.45,2.58,4.3,4.09
37777,28940,1,11274,5535,96027383,85707355,11274,5535,96027383,85707355,698030,315615,5003121458,4809213971,100,100,100,100,1.62,1.75,1.92,1.78
37779,28940,1,3978,1665,98982584,98982584,3978,1665,98982584,98982584,698030,315615,5003121458,4809213971,100,100,100,100,.57,.53,1.98,2.06
37801,28940,1,24346,10701,157986734,157749197,25124,11064,186541688,180384731,698030,315615,5003121458,4809213971,96.9,96.72,84.69,87.45,3.49,3.39,3.16,3.28
37803,28940,1,31668,13536,253146080,252612231,31668,13536,253146080,252612231,698030,315615,5003121458,4809213971,100,100,100,100,4.54,4.29,5.06,5.25
37804,28940,1,24682,10183,90142169,90142169,24682,10183,90142169,90142169,698030,315615,5003121458,4809213971,100,100,100,100,3.54,3.23,1.8,1.87
37806,28940,1,2868,1311,41714729,40402211,2868,1311,41714729,40402211,698030,315615,5003121458,4809213971,100,100,100,100,.41,.42,.83,.84
37807,28940,1,9923,4534,223426106,205327925,9923,4534,223426106,205327925,698030,315615,5003121458,4809213971,100,100,100,100,1.42,1.44,4.47,4.27
37809,24620,2,2278,1069,85987715,85632054,2278,1069,85987715,85632054,68831,32025,1616456379,1611399661,100,100,100,100,3.31,3.34,5.32,5.31
37810,24620,2,1928,901,87006194,86752934,1928,901,87006194,86752934,68831,32025,1616456379,1611399661,100,100,100,100,2.8,2.81,5.38,5.38
37811,28700,1,3060,1629,111345044,95895924,3215,1697,112280157,96831037,309544,146978,5301939988,5205503383,95.18,95.99,99.17,99.03,.99,1.11,2.1,1.84
37811,34100,1,155,68,935113,935113,3215,1697,112280157,96831037,136608,61356,2052740925,1854061138,4.82,4.01,.83,.97,.11,.11,.05,.05
37813,34100,1,17444,7608,152159119,151244922,17444,7608,152159119,151244922,136608,61356,2052740925,1854061138,100,100,100,100,12.77,12.4,7.41,8.16
37814,34100,1,33071,14232,138671762,115283595,33071,14232,138671762,115283595,136608,61356,2052740925,1854061138,100,100,100,100,24.21,23.2,6.76,6.22
37818,24620,2,4998,2285,118916913,118372200,4998,2285,118916913,118372200,68831,32025,1616456379,1611399661,100,100,100,100,7.26,7.14,7.36,7.35
37819,29220,2,713,331,56681845,56658976,713,331,56681845,56658976,40716,19966,1290192978,1243689525,100,100,100,100,1.75,1.66,4.39,4.56
37820,34100,1,7495,3193,170664071,169012805,7495,3193,170664071,169012805,136608,61356,2052740925,1854061138,100,100,100,100,5.49,5.2,8.31,9.12
37821,35460,2,22608,10587,343411273,325382009,22608,10587,343411273,325382009,35662,17459,1147715959,1125518964,100,100,100,100,63.4,60.64,29.92,28.91
37825,28940,1,281,150,23981835,22204720,8399,4113,234115008,224556118,698030,315615,5003121458,4809213971,3.35,3.65,10.24,9.89,.04,.05,.48,.46
37826,11940,2,4276,1905,140422307,140422307,4361,1935,142333792,142333792,52266,23341,1119349601,1114018337,98.05,98.45,98.66,98.66,8.18,8.16,12.54,12.61
37828,28940,1,1430,718,8388714,8388714,1430,718,8388714,8388714,698030,315615,5003121458,4809213971,100,100,100,100,.2,.23,.17,.17
37830,25340,2,3062,1414,108341683,103854487,29700,14676,231941437,219543568,54181,25716,1022985516,934229744,10.31,9.63,46.71,47.3,5.65,5.5,10.59,11.12
37830,28940,1,26638,13262,123599754,115689081,29700,14676,231941437,219543568,698030,315615,5003121458,4809213971,89.69,90.37,53.29,52.7,3.82,4.2,2.47,2.41
37840,25340,2,3770,1699,41117773,41117773,10021,4425,220772029,220771096,54181,25716,1022985516,934229744,37.62,38.4,18.62,18.62,6.96,6.61,4.02,4.4
37840,28940,1,3503,1545,75946711,75946711,10021,4425,220772029,220771096,698030,315615,5003121458,4809213971,34.96,34.92,34.4,34.4,.5,.49,1.52,1.58
37843,35460,2,3725,1749,135165337,134532453,3725,1749,135165337,134532453,35662,17459,1147715959,1125518964,100,100,100,100,10.45,10.02,11.78,11.95
37846,11940,2,106,50,6674458,6674458,5030,2090,191958379,191941061,52266,23341,1119349601,1114018337,2.11,2.39,3.48,3.48,.2,.21,.6,.6
37846,25340,2,1358,621,75747359,75747359,5030,2090,191958379,191941061,54181,25716,1022985516,934229744,27,29.71,39.46,39.46,2.51,2.41,7.4,8.11
37846,28940,1,2031,857,82053526,82036208,5030,2090,191958379,191941061,698030,315615,5003121458,4809213971,40.38,41,42.75,42.74,.29,.27,1.64,1.71
37847,29220,2,1280,580,267304100,267304100,2714,1169,342240965,342240965,40716,19966,1290192978,1243689525,47.16,49.62,78.1,78.1,3.14,2.9,20.72,21.49
37848,28940,1,67,36,3203576,3203576,246,131,17513194,17513194,698030,315615,5003121458,4809213971,27.24,27.48,18.29,18.29,.01,.01,.06,.07
37848,34100,1,179,95,14309618,14309618,246,131,17513194,17513194,136608,61356,2052740925,1854061138,72.76,72.52,81.71,81.71,.13,.15,.7,.77
37849,28940,1,25459,10450,102361523,102055868,25459,10450,102361523,102055868,698030,315615,5003121458,4809213971,100,100,100,100,3.65,3.31,2.05,2.12
37853,28940,1,3815,1673,40983721,40224858,3815,1673,40983721,40224858,698030,315615,5003121458,4809213971,100,100,100,100,.55,.53,.82,.84
37854,18900,2,1894,888,155183889,155162019,13108,6244,377470878,355422977,56053,28151,1773673501,1763847584,14.45,14.22,41.11,43.66,3.38,3.15,8.75,8.8
37854,25340,2,10518,5064,184476577,162450546,13108,6244,377470878,355422977,54181,25716,1022985516,934229744,80.24,81.1,48.87,45.71,19.41,19.69,18.03,17.39
37857,28700,1,21309,10074,622588161,613493976,21309,10074,622588161,613493976,309544,146978,5301939988,5205503383,100,100,100,100,6.88,6.85,11.74,11.79
37860,34100,1,4113,1704,71221787,65960128,4113,1704,71221787,65960128,136608,61356,2052740925,1854061138,100,100,100,100,3.01,2.78,3.47,3.56
37861,34100,1,8340,4101,280180052,258862782,8340,4101,280180052,258862782,136608,61356,2052740925,1854061138,100,100,100,100,6.11,6.68,13.65,13.96
37862,42940,2,20934,13184,217585721,217585721,20934,13184,217585721,217585721,89889,55918,1548082353,1534567408,100,100,100,100,23.29,23.58,14.06,14.18
37863,42940,2,6569,5632,47571014,47571014,6569,5632,47571014,47571014,89889,55918,1548082353,1534567408,100,100,100,100,7.31,10.07,3.07,3.1
37865,28940,1,4436,1784,52395510,52395510,20912,8669,183203356,182976694,698030,315615,5003121458,4809213971,21.21,20.58,28.6,28.64,.64,.57,1.05,1.09
37865,42940,2,16476,6885,130807846,130581184,20912,8669,183203356,182976694,89889,55918,1548082353,1534567408,78.79,79.42,71.4,71.36,18.33,12.31,8.45,8.51
37866,28940,1,1699,999,165155416,136572183,1699,999,165155416,136572183,698030,315615,5003121458,4809213971,100,100,100,100,.24,.32,3.3,2.84
37869,28700,1,236,132,21953820,21941191,5031,2535,350851476,350030648,309544,146978,5301939988,5205503383,4.69,5.21,6.26,6.27,.08,.09,.41,.42
37870,28940,1,263,211,25842452,21969892,4580,2423,224989231,216011838,698030,315615,5003121458,4809213971,5.74,8.71,11.49,10.17,.04,.07,.52,.46
37870,29220,2,720,485,34344573,31261839,4580,2423,224989231,216011838,40716,19966,1290192978,1243689525,15.72,20.02,15.26,14.47,1.77,2.43,2.66,2.51
37871,28940,1,3530,1508,46049993,45245507,9134,3886,105113712,102967954,698030,315615,5003121458,4809213971,38.65,38.81,43.81,43.94,.51,.48,.92,.94
37871,34100,1,3604,1536,47306337,45965065,9134,3886,105113712,102967954,136608,61356,2052740925,1854061138,39.46,39.53,45,44.64,2.64,2.5,2.3,2.48
37871,42940,2,2000,842,11757382,11757382,9134,3886,105113712,102967954,89889,55918,1548082353,1534567408,21.9,21.67,11.19,11.42,2.22,1.51,.76,.77
37873,28700,1,4073,1990,161502421,159617055,4073,1990,161502421,159617055,309544,146978,5301939988,5205503383,100,100,100,100,1.32,1.35,3.05,3.07
37874,11940,2,2047,829,54288734,54066901,14979,6621,263516042,263287834,52266,23341,1119349601,1114018337,13.67,12.52,20.6,20.54,3.92,3.55,4.85,4.85
37874,28940,1,561,225,23186049,23186049,14979,6621,263516042,263287834,698030,315615,5003121458,4809213971,3.75,3.4,8.8,8.81,.08,.07,.46,.48
37876,34100,1,585,538,49803805,18958265,29246,16983,529127970,486561468,136608,61356,2052740925,1854061138,2,3.17,9.41,3.9,.43,.88,2.43,1.02
37876,42940,2,28661,16445,479324165,467603203,29246,16983,529127970,486561468,89889,55918,1548082353,1534567408,98,96.83,90.59,96.1,31.88,29.41,30.96,30.47
37877,34100,1,8464,3614,72833548,66791954,8464,3614,72833548,66791954,136608,61356,2052740925,1854061138,100,100,100,100,6.2,5.89,3.55,3.6
37878,28940,1,514,490,101067115,97867455,514,490,101067115,97867455,698030,315615,5003121458,4809213971,100,100,100,100,.07,.16,2.02,2.03
37880,25340,2,1506,860,90481661,73104608,3477,2069,221411461,183912284,54181,25716,1022985516,934229744,43.31,41.57,40.87,39.75,2.78,3.34,8.84,7.83
37881,28700,1,164,91,14960432,14960432,2291,1143,187221178,184662106,309544,146978,5301939988,5205503383,7.16,7.96,7.99,8.1,.05,.06,.28,.29
37881,34100,1,1258,613,101386761,98975299,2291,1143,187221178,184662106,136608,61356,2052740925,1854061138,54.91,53.63,54.15,53.6,.92,1,4.94,5.34
37882,28940,1,2724,2456,414212891,413932270,2724,2456,414212891,413932270,698030,315615,5003121458,4809213971,100,100,100,100,.39,.78,8.28,8.61
37885,28940,1,291,167,8864301,6004984,5067,2656,474181401,435663277,698030,315615,5003121458,4809213971,5.74,6.29,1.87,1.38,.04,.05,.18,.12
37886,28940,1,4418,2053,113625372,113625372,4418,2053,113625372,113625372,698030,315615,5003121458,4809213971,100,100,100,100,.63,.65,2.27,2.36
37888,28940,1,223,114,9533265,9500471,2741,1248,144791353,141285731,698030,315615,5003121458,4809213971,8.14,9.13,6.58,6.72,.03,.04,.19,.2
37888,34100,1,2518,1134,135258088,131785260,2741,1248,144791353,141285731,136608,61356,2052740925,1854061138,91.86,90.87,93.42,93.28,1.84,1.85,6.59,7.11
37890,34100,1,6668,3024,103199302,87965537,6668,3024,103199302,87965537,136608,61356,2052740925,1854061138,100,100,100,100,4.88,4.93,5.03,4.74
37891,28700,1,839,366,32898001,30125150,3626,1611,86119368,83291047,309544,146978,5301939988,5205503383,23.14,22.72,38.2,36.17,.27,.25,.62,.58
37891,34100,1,2787,1245,53221367,53165897,3626,1611,86119368,83291047,136608,61356,2052740925,1854061138,76.86,77.28,61.8,63.83,2.04,2.03,2.59,2.87
37902,28940,1,1586,1136,1271154,1209202,1586,1136,1271154,1209202,698030,315615,5003121458,4809213971,100,100,100,100,.23,.36,.03,.03
37909,28940,1,15168,7754,18118897,18118897,15168,7754,18118897,18118897,698030,315615,5003121458,4809213971,100,100,100,100,2.17,2.46,.36,.38
37912,28940,1,20673,10610,28081432,28081432,20673,10610,28081432,28081432,698030,315615,5003121458,4809213971,100,100,100,100,2.96,3.36,.56,.58
37914,28940,1,19663,9659,106547669,103170455,19663,9659,106547669,103170455,698030,315615,5003121458,4809213971,100,100,100,100,2.82,3.06,2.13,2.15
37915,28940,1,5647,3002,5079784,4856416,5647,3002,5079784,4856416,698030,315615,5003121458,4809213971,100,100,100,100,.81,.95,.1,.1
37916,28940,1,12507,3066,4169086,3860159,12507,3066,4169086,3860159,698030,315615,5003121458,4809213971,100,100,100,100,1.79,.97,.08,.08
37917,28940,1,24072,12807,25482056,25482056,24072,12807,25482056,25482056,698030,315615,5003121458,4809213971,100,100,100,100,3.45,4.06,.51,.53
37918,28940,1,42835,19014,90827683,90821020,42835,19014,90827683,90821020,698030,315615,5003121458,4809213971,100,100,100,100,6.14,6.02,1.82,1.89
37919,28940,1,28194,14364,53564558,49069034,28194,14364,53564558,49069034,698030,315615,5003121458,4809213971,100,100,100,100,4.04,4.55,1.07,1.02
37920,28940,1,39087,18814,196098024,187767790,39087,18814,196098024,187767790,698030,315615,5003121458,4809213971,100,100,100,100,5.6,5.96,3.92,3.9
37921,28940,1,28233,12639,39638788,39620719,28233,12639,39638788,39620719,698030,315615,5003121458,4809213971,100,100,100,100,4.04,4,.79,.82
37922,28940,1,33180,12792,89682877,70454744,33180,12792,89682877,70454744,698030,315615,5003121458,4809213971,100,100,100,100,4.75,4.05,1.79,1.46
37923,28940,1,27457,13576,29088066,29050914,27457,13576,29088066,29050914,698030,315615,5003121458,4809213971,100,100,100,100,3.93,4.3,.58,.6
37924,28940,1,11259,5118,72060632,71514195,11259,5118,72060632,71514195,698030,315615,5003121458,4809213971,100,100,100,100,1.61,1.62,1.44,1.49
37931,28940,1,26109,10972,75737685,74286243,26109,10972,75737685,74286243,698030,315615,5003121458,4809213971,100,100,100,100,3.74,3.48,1.51,1.54
37932,28940,1,14527,6197,78917770,74542633,14527,6197,78917770,74542633,698030,315615,5003121458,4809213971,100,100,100,100,2.08,1.96,1.58,1.55
37934,28940,1,24107,9410,46016297,45291928,24107,9410,46016297,45291928,698030,315615,5003121458,4809213971,100,100,100,100,3.45,2.98,.92,.94
37938,28940,1,17085,6906,83750915,83750915,17085,6906,83750915,83750915,698030,315615,5003121458,4809213971,100,100,100,100,2.45,2.19,1.67,1.74
38002,32820,1,38927,13689,302770326,301517069,38927,13689,302770326,301517069,1316100,550896,12171451199,11856577553,100,100,100,100,2.96,2.48,2.49,2.54
38004,32820,1,9866,3384,68452516,68364435,9866,3384,68452516,68364435,1316100,550896,12171451199,11856577553,100,100,100,100,.75,.61,.56,.58
38006,15140,2,860,378,130244675,130123776,5207,2238,261789446,261530769,18787,8315,1383210206,1380753077,16.52,16.89,49.75,49.75,4.58,4.55,9.42,9.42
38006,27180,1,206,93,17152391,17152391,5207,2238,261789446,261530769,115425,48857,2187463106,2182978552,3.96,4.16,6.55,6.56,.18,.19,.78,.79
38007,20540,2,91,50,5152203,5152203,91,50,5152203,5152203,38335,16703,1363700975,1326920403,100,100,100,100,.24,.3,.38,.39
38011,32820,1,9908,3653,152753405,152618381,9908,3653,152753405,152618381,1316100,550896,12171451199,11856577553,100,100,100,100,.75,.66,1.26,1.29
38012,15140,2,14575,6328,701225401,699423906,14575,6328,701225401,699423906,18787,8315,1383210206,1380753077,100,100,100,100,77.58,76.1,50.7,50.66
38015,32820,1,2828,1166,115710264,112402597,2828,1166,115710264,112402597,1316100,550896,12171451199,11856577553,100,100,100,100,.21,.21,.95,.95
38016,32820,1,43079,18976,49596880,49483518,43079,18976,49596880,49483518,1316100,550896,12171451199,11856577553,100,100,100,100,3.27,3.44,.41,.42
38017,32820,1,48642,17736,221186767,219494821,48642,17736,221186767,219494821,1316100,550896,12171451199,11856577553,100,100,100,100,3.7,3.22,1.82,1.85
38018,32820,1,35059,14539,47981159,47811313,35059,14539,47981159,47811313,1316100,550896,12171451199,11856577553,100,100,100,100,2.66,2.64,.39,.4
38019,32820,1,15601,6443,357753712,357382922,15601,6443,357753712,357382922,1316100,550896,12171451199,11856577553,100,100,100,100,1.19,1.17,2.94,3.01
38023,32820,1,6146,2375,193982707,170820862,6146,2375,193982707,170820862,1316100,550896,12171451199,11856577553,100,100,100,100,.47,.43,1.59,1.44
38024,20540,2,27406,12003,369447537,366365149,27406,12003,369447537,366365149,38335,16703,1363700975,1326920403,100,100,100,100,71.49,71.86,27.09,27.61
38028,32820,1,6883,2649,150307546,149775749,6883,2649,150307546,149775749,1316100,550896,12171451199,11856577553,100,100,100,100,.52,.48,1.23,1.26
38029,32820,1,80,35,135610,135610,80,35,135610,135610,1316100,550896,12171451199,11856577553,100,100,100,100,.01,.01,0,0
38030,20540,2,977,441,365135318,334589228,977,441,365135318,334589228,38335,16703,1363700975,1326920403,100,100,100,100,2.55,2.64,26.78,25.22
38034,20540,2,718,317,82383549,82280474,2998,1322,260623902,260520827,38335,16703,1363700975,1326920403,23.95,23.98,31.61,31.58,1.87,1.9,6.04,6.2
38036,32820,1,478,197,1635483,1635483,478,197,1635483,1635483,1316100,550896,12171451199,11856577553,100,100,100,100,.04,.04,.01,.01
38037,15140,2,476,216,71933693,71933693,1773,797,128439226,128437001,18787,8315,1383210206,1380753077,26.85,27.1,56.01,56.01,2.53,2.6,5.2,5.21
38039,32820,1,290,123,66772113,66767811,1804,761,170388634,169688500,1316100,550896,12171451199,11856577553,16.08,16.16,39.19,39.35,.02,.02,.55,.56
38040,20540,2,293,129,28320160,28320160,5193,2371,282476873,281923731,38335,16703,1363700975,1326920403,5.64,5.44,10.03,10.05,.76,.77,2.08,2.13
38042,32820,1,12,9,19807163,19803075,796,375,128020443,127947151,1316100,550896,12171451199,11856577553,1.51,2.4,15.47,15.48,0,0,.16,.17
38044,27180,1,38,20,2149549,2149549,865,442,107931159,107843461,115425,48857,2187463106,2182978552,4.39,4.52,1.99,1.99,.03,.04,.1,.1
38046,32820,1,108,51,10590386,10590386,108,51,10590386,10590386,1316100,550896,12171451199,11856577553,100,100,100,100,.01,.01,.09,.09
38047,20540,2,91,36,2495291,2495291,91,36,2495291,2495291,38335,16703,1363700975,1326920403,100,100,100,100,.24,.22,.18,.19
38049,32820,1,4984,1818,289197554,289012188,4984,1818,289197554,289012188,1316100,550896,12171451199,11856577553,100,100,100,100,.38,.33,2.38,2.44
38053,32820,1,27932,11262,486278140,456755512,27932,11262,486278140,456755512,1316100,550896,12171451199,11856577553,100,100,100,100,2.12,2.04,4,3.85
38054,32820,1,284,20,932363,932363,284,20,932363,932363,1316100,550896,12171451199,11856577553,100,100,100,100,.02,0,.01,.01
38057,32820,1,3649,1478,271669928,271522017,3649,1478,271669928,271522017,1316100,550896,12171451199,11856577553,100,100,100,100,.28,.27,2.23,2.29
38058,32820,1,10236,3887,68527480,68375057,10236,3887,68527480,68375057,1316100,550896,12171451199,11856577553,100,100,100,100,.78,.71,.56,.58
38059,20540,2,7426,3091,297103780,296827901,7663,3212,332569407,332293528,38335,16703,1363700975,1326920403,96.91,96.23,89.34,89.33,19.37,18.51,21.79,22.37
38059,26480,2,237,121,35465627,35465627,7663,3212,332569407,332293528,49683,21999,1563448020,1561094821,3.09,3.77,10.66,10.67,.48,.55,2.27,2.27
38060,32820,1,9496,3734,114440406,114222334,9496,3734,114440406,114222334,1316100,550896,12171451199,11856577553,100,100,100,100,.72,.68,.94,.96
38063,15140,2,287,132,75098048,75062893,17403,7502,869987745,790218981,18787,8315,1383210206,1380753077,1.65,1.76,8.63,9.5,1.53,1.59,5.43,5.44
38066,32820,1,2630,1098,159027830,158703375,2630,1098,159027830,158703375,1316100,550896,12171451199,11856577553,100,100,100,100,.2,.2,1.31,1.34
38068,32820,1,10941,4529,701293055,700313891,10941,4529,701293055,700313891,1316100,550896,12171451199,11856577553,100,100,100,100,.83,.82,5.76,5.91
38069,15140,2,2011,1037,309865732,309537713,2376,1184,340897301,340569282,18787,8315,1383210206,1380753077,84.64,87.58,90.9,90.89,10.7,12.47,22.4,22.42
38069,32820,1,365,147,31031569,31031569,2376,1184,340897301,340569282,1316100,550896,12171451199,11856577553,15.36,12.42,9.1,9.11,.03,.03,.25,.26
38070,20540,2,175,88,2704699,2704699,175,88,2704699,2704699,38335,16703,1363700975,1326920403,100,100,100,100,.46,.53,.2,.2
38075,15140,2,578,224,94842657,94671096,6936,1529,346707094,345782216,18787,8315,1383210206,1380753077,8.33,14.65,27.36,27.38,3.08,2.69,6.86,6.86
38075,32820,1,342,132,33095882,33095882,6936,1529,346707094,345782216,1316100,550896,12171451199,11856577553,4.93,8.63,9.55,9.57,.03,.02,.27,.28
38076,32820,1,847,357,61853821,61764370,847,357,61853821,61764370,1316100,550896,12171451199,11856577553,100,100,100,100,.06,.06,.51,.52
38079,46460,2,18,9,69629592,45202343,5577,1616,345620875,274199918,38620,18031,2036054965,1943091392,.32,.56,20.15,16.49,.05,.05,3.42,2.33
38080,20540,2,291,149,159236772,156585102,2568,1139,393245912,364785821,38335,16703,1363700975,1326920403,11.33,13.08,40.49,42.93,.76,.89,11.68,11.8
38080,46460,2,47,24,7901797,7901797,2568,1139,393245912,364785821,38620,18031,2036054965,1943091392,1.83,2.11,2.01,2.17,.12,.13,.39,.41
38103,32820,1,12180,7281,10535569,6778611,12180,7281,10535569,6778611,1316100,550896,12171451199,11856577553,100,100,100,100,.93,1.32,.09,.06
38104,32820,1,23409,14538,13204400,13204400,23409,14538,13204400,13204400,1316100,550896,12171451199,11856577553,100,100,100,100,1.78,2.64,.11,.11
38105,32820,1,6184,3546,4422814,4402770,6184,3546,4422814,4402770,1316100,550896,12171451199,11856577553,100,100,100,100,.47,.64,.04,.04
38106,32820,1,27222,12782,71393391,67152076,27222,12782,71393391,67152076,1316100,550896,12171451199,11856577553,100,100,100,100,2.07,2.32,.59,.57
38107,32820,1,17698,8793,14197097,13994958,17698,8793,14197097,13994958,1316100,550896,12171451199,11856577553,100,100,100,100,1.34,1.6,.12,.12
38108,32820,1,18729,8463,19654521,18140270,18729,8463,19654521,18140270,1316100,550896,12171451199,11856577553,100,100,100,100,1.42,1.54,.16,.15
38109,32820,1,46594,18891,181562046,174338927,46594,18891,181562046,174338927,1316100,550896,12171451199,11856577553,100,100,100,100,3.54,3.43,1.49,1.47
38111,32820,1,41742,19832,25654955,25628563,41742,19832,25654955,25628563,1316100,550896,12171451199,11856577553,100,100,100,100,3.17,3.6,.21,.22
38112,32820,1,17472,8275,11683848,11646791,17472,8275,11683848,11646791,1316100,550896,12171451199,11856577553,100,100,100,100,1.33,1.5,.1,.1
38114,32820,1,26905,13320,19536938,19536938,26905,13320,19536938,19536938,1316100,550896,12171451199,11856577553,100,100,100,100,2.04,2.42,.16,.16
38115,32820,1,39129,18726,22240912,22219159,39129,18726,22240912,22219159,1316100,550896,12171451199,11856577553,100,100,100,100,2.97,3.4,.18,.19
38116,32820,1,40404,18663,49361920,49238392,40404,18663,49361920,49238392,1316100,550896,12171451199,11856577553,100,100,100,100,3.07,3.39,.41,.42
38117,32820,1,26125,12403,24203282,24203282,26125,12403,24203282,24203282,1316100,550896,12171451199,11856577553,100,100,100,100,1.99,2.25,.2,.2
38118,32820,1,41465,16508,80987146,80825172,41465,16508,80987146,80825172,1316100,550896,12171451199,11856577553,100,100,100,100,3.15,3,.67,.68
38119,32820,1,22330,10422,23014151,22890937,22330,10422,23014151,22890937,1316100,550896,12171451199,11856577553,100,100,100,100,1.7,1.89,.19,.19
38120,32820,1,14237,6796,25020208,24972357,14237,6796,25020208,24972357,1316100,550896,12171451199,11856577553,100,100,100,100,1.08,1.23,.21,.21
38122,32820,1,25270,11315,19532324,19532324,25270,11315,19532324,19532324,1316100,550896,12171451199,11856577553,100,100,100,100,1.92,2.05,.16,.16
38125,32820,1,36150,14249,49423989,49423989,36150,14249,49423989,49423989,1316100,550896,12171451199,11856577553,100,100,100,100,2.75,2.59,.41,.42
38126,32820,1,7334,3002,4712142,4712142,7334,3002,4712142,4712142,1316100,550896,12171451199,11856577553,100,100,100,100,.56,.54,.04,.04
38127,32820,1,45248,18290,99394402,97335965,45248,18290,99394402,97335965,1316100,550896,12171451199,11856577553,100,100,100,100,3.44,3.32,.82,.82
38128,32820,1,44863,18315,62302340,61207432,44863,18315,62302340,61207432,1316100,550896,12171451199,11856577553,100,100,100,100,3.41,3.32,.51,.52
38131,32820,1,0,0,480154,480154,0,0,480154,480154,1316100,550896,12171451199,11856577553,0,0,100,100,0,0,0,0
38132,32820,1,7,2,1773754,1773754,7,2,1773754,1773754,1316100,550896,12171451199,11856577553,100,100,100,100,0,0,.01,.01
38133,32820,1,20787,7732,32787276,32787276,20787,7732,32787276,32787276,1316100,550896,12171451199,11856577553,100,100,100,100,1.58,1.4,.27,.28
38134,32820,1,41948,16045,48223804,48194361,41948,16045,48223804,48194361,1316100,550896,12171451199,11856577553,100,100,100,100,3.19,2.91,.4,.41
38135,32820,1,30657,11384,33265103,33123417,30657,11384,33265103,33123417,1316100,550896,12171451199,11856577553,100,100,100,100,2.33,2.07,.27,.28
38138,32820,1,24045,10447,30718918,30718918,24045,10447,30718918,30718918,1316100,550896,12171451199,11856577553,100,100,100,100,1.83,1.9,.25,.26
38139,32820,1,16086,5648,23157628,22979393,16086,5648,23157628,22979393,1316100,550896,12171451199,11856577553,100,100,100,100,1.22,1.03,.19,.19
38141,32820,1,22462,7982,20223482,20210164,22462,7982,20223482,20210164,1316100,550896,12171451199,11856577553,100,100,100,100,1.71,1.45,.17,.17
38152,32820,1,834,0,139080,139080,834,0,139080,139080,1316100,550896,12171451199,11856577553,100,0,100,100,.06,0,0,0
