ZCTA5,CBSA,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
00715,38660,1,3656,1532,20584363,20434129,3656,1532,20584363,20434129,243147,99359,874803803,545648108,100,100,100,100,1.5,1.54,2.35,3.74
00716,38660,1,33779,14275,30049311,22081777,33779,14275,30049311,22081777,243147,99359,874803803,545648108,100,100,100,100,13.89,14.37,3.43,4.05
00717,38660,1,18457,9518,5526660,5417561,18457,9518,5526660,5417561,243147,99359,874803803,545648108,100,100,100,100,7.59,9.58,.63,.99
00718,41980,1,26606,11970,120629614,117172329,26606,11970,120629614,117172329,2478905,1073552,5223033344,4117856690,100,100,100,100,1.07,1.11,2.31,2.85
00719,41980,1,30990,11496,73426199,72527843,30990,11496,73426199,72527843,2478905,1073552,5223033344,4117856690,100,100,100,100,1.25,1.07,1.41,1.76
00720,17620,2,121,41,997370,997370,23129,9059,154654537,154368018,71590,31096,497661896,381705801,.52,.45,.64,.65,.17,.13,.2,.26
00720,41980,1,23008,9018,153657167,153370648,23129,9059,154654537,154368018,2478905,1073552,5223033344,4117856690,99.48,99.55,99.36,99.35,.93,.84,2.94,3.72
00723,25020,1,19277,9358,120873733,119554076,19277,9358,120873733,119554076,84214,37946,564011616,328148208,100,100,100,100,22.89,24.66,21.43,36.43
00725,41980,1,89374,38678,110381424,109190812,89374,38678,110381424,109190812,2478905,1073552,5223033344,4117856690,100,100,100,100,3.61,3.6,2.11,2.65
00727,41980,1,58382,23679,55854034,55827071,58382,23679,55854034,55827071,2478905,1073552,5223033344,4117856690,100,100,100,100,2.36,2.21,1.07,1.36
00728,38660,1,44908,16698,62143525,40524719,44908,16698,62143525,40524719,243147,99359,874803803,545648108,100,100,100,100,18.47,16.81,7.1,7.43
00729,41980,1,53750,21688,88323600,87958918,53750,21688,88323600,87958918,2478905,1073552,5223033344,4117856690,100,100,100,100,2.17,2.02,1.69,2.14
00730,38660,1,35742,16253,16973860,16850026,35742,16253,16973860,16850026,243147,99359,874803803,545648108,100,100,100,100,14.7,16.36,1.94,3.09
